flag,homeport_state_1789_fr,destination_ferme_bureau,year,destination_ferme_direction,destination,departure_action,homeport,departure_state_1789_fr,destination_action,departure_ferme_direction,tonnage_class,tonnage,departure,destination_state_1789_fr,departure_ferme_bureau
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Maldon,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Malden,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Maldon,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Malden,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Maldon,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Maldon,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Maldon,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Maldon,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Maldon,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,,1787,,Islande,out,Dunkerque,France,in,,[21-50],45,Dunkerque,Danemark,
French,France,,1787,,Amsterdam,out,Saint Valery sur Somme,France,in,,[201-500],280,Dunkerque,Provinces-Unies,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Harwich,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Warden,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,,1787,,Setubal,out,Dunkerque,France,in,,[101-200],110,Dunkerque,Portugal,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Pegelston [Pegelsham],France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Pegelsham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Pegelsham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Pegelsham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,,1787,,Barcelonne,out,Dunkerque,France,in,,[201-500],250,Dunkerque,Espagne,
Hamburguese,Hambourg,,1787,,Hambourg,out,Hambourg,France,in,,[101-200],112,Dunkerque,Hambourg,
Danish/Norwegian,Danemark,,1787,,Frédérickshall,out,Frederichshald,France,in,,[101-200],150,Dunkerque,Danemark,
French,France,,1787,,Islande,out,Dunkerque,France,in,,[51-100],90,Dunkerque,Danemark,
French,France,,1787,,Schiedam,out,Dunkerque,France,in,,[51-100],90,Dunkerque,Provinces-Unies,
French,France,,1787,,Dunkerque,out,Saint Malo,France,in,La Rochelle,[51-100],75,Saint Michel en l' Herm,France,Sables d'Olonne
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Walton,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Walton,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Walton,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,,1787,,Amsterdam,out,Dunkerque,France,in,,[51-100],100,Dunkerque,Provinces-Unies,
French,France,,1787,,Islande,out,Dunkerque,France,in,,[21-50],40,Dunkerque,Danemark,
French,France,,1787,,Islande,out,Dunkerque,France,in,,[21-50],30,Dunkerque,Danemark,
French,France,Marseille,1787,Marseille,Marseille,out,Dunkerque,France,in,,[201-500],280,Dunkerque,France,
British,Grande-Bretagne,,1787,,Londres,out,Douvres,France,in,,[51-100],72,Dunkerque,Grande-Bretagne,
French,France,,1787,,Amsterdam,out,Dunkerque,France,in,,[51-100],70,Dunkerque,Provinces-Unies,
French,France,,1787,,Rotterdam,out,Dunkerque,France,in,,[21-50],50,Dunkerque,Provinces-Unies,
French,France,,1787,,Islande,out,Dunkerque,France,in,,[21-50],40,Dunkerque,Danemark,
French,France,,1787,,Rotterdam,out,Dunkerque,France,in,,[51-100],70,Dunkerque,Provinces-Unies,
French,,,1787,,Dunkerque,out,,France,in,Rouen,[1-20],14,Saint Valery en Caux,France,Saint-Valéry-en-Caux
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
Papenburg,Evêché de Münster,,1787,,Flessingue,out,Papenburg,France,in,,[101-200],115,Dunkerque,Provinces-Unies,
French,France,,1787,,Islande,out,Dunkerque,France,in,,[21-50],45,Dunkerque,Danemark,
French,France,Brest,1787,Lorient,Brest,out,Le Conquet,France,in,,[21-50],40,Dunkerque,France,
French,France,Sète,1787,Montpellier,Sette,out,Dunkerque,France,in,,[201-500],230,Dunkerque,France,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hythe,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hystre [Hythe],France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hythe,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hythe,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hythe,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
Swedish,Suède,,1787,,Nieuport,out,Göteborg,France,in,Lille,[51-100],93,Gravelines,Autriche,Gravelines
British,Grande-Bretagne,,1787,,Fowey,out,Fowey,France,in,,[51-100],55,Dunkerque,Grande-Bretagne,
Austrian NL,Autriche,,1787,,Nieuport,out,Nieuport,France,in,,[21-50],40,Dunkerque,Autriche,
British,Grande-Bretagne,,1787,,Sunderland,out,Sunderland,France,in,,[51-100],95,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Arundel,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,Caen,1787,Caen,La Hougue,out,La Hougue,France,in,,[51-100],59,Dunkerque,France,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Margate,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Londres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Deal,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Harwich,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
Danish/Norwegian,Danemark,,1787,,Christiansand,out,Christiansand,France,in,,[201-500],210,Dunkerque,Danemark,
French,France,,1787,,Setubal,out,Dunkerque,France,in,,[101-200],120,Dunkerque,Portugal,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,,1787,,Dunkerque,out,Boulogne sur Mer,France,in,Amiens,[21-50],40,Baie d' Authie,France,Abbeville
French,France,,1787,,Islande,out,Dunkerque,France,in,,[51-100],100,Dunkerque,Danemark,
Dutch,Provinces-Unies,,1787,,Zierikzee,out,Zierikzee,France,in,,[1-20],12,Dunkerque,Provinces-Unies,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Rochester,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Rochester,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Withstabel [Whistable],France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,,1787,,Cap [Français],out,Dunkerque,France,in,,[101-200],190,Dunkerque,France,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Dartmouth,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Exeter,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Exeter,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Exeter,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Deal,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Deal,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
Dutch,Provinces-Unies,,1787,,Terver,out,Tervers,France,in,,[51-100],55,Dunkerque,Provinces-Unies,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
Dutch,Provinces-Unies,,1787,,Terver,out,Tervers,France,in,,[51-100],55,Dunkerque,Provinces-Unies,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Colchester,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Colchester,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Colchester,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Southampton,out,Sunderland,France,in,,[101-200],170,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Sunderland,out,Sunderland,France,in,,[101-200],155,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Rye,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Harwich,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,Brest,1787,Lorient,Brest,out,Brest,France,in,,[51-100],95,Dunkerque,France,
British,Grande-Bretagne,,1787,,Sunderland,out,Sunderland,France,in,,[101-200],145,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Southwold,out,Southwoule,France,in,,[101-200],130,Dunkerque,Grande-Bretagne,
French,France,Brest,1787,Lorient,Brest,out,Aber Ildut,France,in,,[51-100],54,Dunkerque,France,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Ipswich,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Londres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Whistable,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,,1787,,Setubal,out,Dunkerque,France,in,,[101-200],110,Dunkerque,Portugal,
French,France,Rochefort,1787,La Rochelle,Rochefort,out,Bourcefranc,France,in,,[21-50],50,Dunkerque,France,
French,France,,1787,,Portsmouth,out,Marennes,France,in,,[21-50],50,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Whistable,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Whistable,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Loo [Lee],France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Lee,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Nord Ferrow en Norvege,out,Wick,France,in,,[1-20],12,Dunkerque,Danemark,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Wick,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Whistable,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Whistable,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Whistable,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
