destination,year,tonnage,tonnage_class,departure_action,destination_action,flag,homeport_state_1789_fr,homeport,departure
Isigny,1787,62,[51-100],in-out,in,French,France,Nantes,Cherbourg
Cancale,1787,14,[1-20],out,in,French,France,La Hougue,Rouen
Granville,1787,14,[1-20],out,in,French,France,La Hougue,Rouen
Cherbourg,1787,52,[51-100],in-out,in,French,,,Tancarville
Le Crotoy,1787,85,[51-100],out,in,French,France,Dieppe,Dieppe
Le Crotoy,1787,85,[51-100],out,in,French,France,Dieppe,Dieppe
Bordeaux,1787,54,[51-100],out,in,French,France,Penerf,Roche Bernard
Marseille,1787,280,[201-500],in-out,in,French,France,Dunkerque,Barcelonne
Douvres,1787,,,out,in,French,France,Calais,Calais
Saint Malo,1787,100,[51-100],out,in,French,France,Saint Malo,Saint Pierre et Miquelon
Cancale,1787,8,[1-20],out,in,French,France,Grandville,Granville
Geffle,1787,140,[101-200],out,in,NonFrench,,,Le Havre
Lisbonne,1787,120,[101-200],out,in,French,,,Rouen
Cherbourg,1787,160,[101-200],out,in,French,France,Brest,Charente
Rouen,1787,98,[51-100],in-out,in,French,France,Rochefort,Le Havre
Angleterre,1787,2,[1-20],out,in,British,,,Boulogne sur Mer
Hambourg,1787,130,[101-200],out,in,Prussian,,,Dieppe
Bordeaux,1787,236,[201-500],out,in,Dutch,,Workum,Dunkerque
Honfleur,1787,30,[21-50],out,in,French,,,
Briqueville,1787,9,[1-20],out,in,French,,,Granville
Roscoff,1787,56,[51-100],out,in,French,France,Aber Ildut,Dunkerque
Gothembourg,1787,93,[51-100],out,in,Swedish,Suède,Göteborg,Dunkerque
Oléron,1787,32,[21-50],out,in,French,France,Charente,Charente
Saint Valéry sur Somme,1787,83,[51-100],out,in,French,France,Saint Valéry,La Rochelle
,1787,6,[1-20],out,in,French,,Penzés,Roscoff
Rouen,1787,40,[21-50],in-out,in,French,,,Dielette
Rouen,1787,40,[21-50],in-out,in,French,,,Gouy
Rouen,1787,40,[21-50],in-out,in,French,,,Blainville
Bordeaux,1787,59,[51-100],out,in,French,France,La Hougue,Cherbourg
Charente,1787,50,[21-50],out,in,French,France,La Hougue,Dunkerque
Frédérickshall,1787,92,[51-100],out,in,NonFrench,,,Le Havre
Courseulles,1787,12,[1-20],in-out,in,French,France,Courseulles,La Hougue
Douvres,1787,30,[21-50],out,in,British,Grande-Bretagne,Douvres,Calais
Marseille,1787,150,[101-200],in-out,in,French,France,Dunkerque,Barcelonne
Espagne [Mediterranean],1787,128,[101-200],in-out,in,French,,,Italie
Cherbourg,1787,32,[21-50],out,in,French,France,Cherbourg,Cherbourg
Le Havre,1787,32,[21-50],out,in,French,France,Cherbourg,Cherbourg
Cherbourg,1787,30,[21-50],out,in,French,France,La Hougue,Cherbourg
Cherbourg,1787,30,[21-50],out,in,French,France,Cherbourg,Cherbourg
Billabaroza [Villanueva de Arosa],1787,15,[1-20],out,in,Spanish,Espagne,Plasencia,Bayonne
Iles sous le vent,1787,,,out,in,French,France,Nantes,Cayenne
Quenebec,1787,60,[51-100],out,in,USA,,,Saint Pierre et Miquelon
Omonville,1787,24,[21-50],in-out,in,French,,,Rouen
Brest,1787,50,[21-50],out,in,French,France,Aber Ildut,Rouen
La Rochelle,1787,58,[51-100],out,in,French,France,Courseulles,Isigny
Granville,1787,8,[1-20],out,in,French,France,Courseulles,Granville
Courseulles,1787,8,[1-20],out,in,French,France,Courseulles,Granville
Cherbourg,1787,120,[101-200],out,in,French,France,Cherbourg,La Rochelle
Marennes,1787,42,[21-50],out,in,French,France,Bourc Frans [Bourcefranc],Brest
Nord Ferrow en Norvege,1787,40,[21-50],out,in,British,Grande-Bretagne,Dublin,Lorient
La Rochelle,1787,45,[21-50],out,in,French,France,Saint Malo,Libourne
Dieppe,1787,80,[51-100],out,in,French,France,Dieppe,La Rochelle
Rouen,1787,20,[1-20],in-out,in,French,,,Honfleur
Rouen,1787,20,[1-20],in-out,in,French,,,Harfleur
Angleterre,1787,2,[1-20],out,in,British,,,Boulogne sur Mer
Angleterre,1787,2,[1-20],out,in,British,,,Boulogne sur Mer
Jersey,1787,2,[1-20],out,in,British,,,Dielette
Brighthelm-Stone [Brighton],1787,40,[21-50],out,in,British,,,Dieppe
Christiansand,1787,110,[101-200],out,in,NonFrench,,,Le Havre
Courseulles,1787,22,[21-50],out,in,French,France,Courseulles,Granville
Granville,1787,80,[51-100],out,in,French,,,Dieppe
La Hougue,1787,20,[1-20],out,in,French,France,La Hougue,Rouen
Dunkerque,1787,90,[51-100],out,in,French,France,Dunkerque,Charente
Rouen,1787,50,[21-50],out,in,French,France,Saint Briac,Saint Malo
Rouen,1787,36,[21-50],in-out,in,French,,,Saint Germain
Rouen,1787,36,[21-50],out,in,French,,,Cherbourg
Rouen,1787,48,[21-50],out,in,French,France,Granville,Bordeaux
Rouen,1787,48,[21-50],in-out,in,French,France,Granville,Le Havre
Rouen,1787,85,[51-100],out,in,French,France,Le Havre,Le Havre
Granville,1787,95,[51-100],in-out,in,French,France,Saint Malo,Saint Malo
La Hougue,1787,20,[1-20],in-out,in,French,France,La Hougue,Honfleur
Granville,1787,120,[101-200],out,in,French,France,Granville,La Rochelle
Dunkerque,1787,96,[51-100],out,in,French,France,Cherbourg,Charente
Saint Martin de Ré,1787,24,[21-50],out,in,French,France,Sables d' Olonne,La Rochelle
Sables d' Olonne,1787,24,[21-50],out,in,French,France,Les Sables d' Olonne,La Rochelle
Le Havre,1787,6,[1-20],out,in,French,,Cayeux,Saint Valéry sur Somme
