tonnage,homeport_state_1789_fr,year,pointcall_province,pointcall_admiralty,pointcall_action,tonnage_class,homeport,ferme_bureau,flag,pointcall,ferme_direction
108,,1787,Flandre,Dunkerque,out,[101-200],Commer Fielt,Dunkerque,Danish,Dunkerque,Lille
48,France,1787,Flandre,Dunkerque,out,[21-50],Bourgneuf,Gravelines,French,Gravelines,Lille
110,,1787,Flandre,Dunkerque,out,[101-200],,Dunkerque,Dutch,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],,Dunkerque,British,Dunkerque,Lille
50,France,1787,Flandre,Dunkerque,out,[21-50],Brouage,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Walton,Dunkerque,British,Dunkerque,Lille
120,,1787,Flandre,Dunkerque,out,[101-200],Pool,Dunkerque,British,Dunkerque,Lille
234,France,1787,Flandre,Dunkerque,in,[201-500],Saint Valery sur Somme,Dunkerque,French,Dunkerque,Lille
80,,1787,Flandre,Dunkerque,out,[51-100],Plassac,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Pegelsham,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Mazzy [Mersey],Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
100,France,1787,Flandre,Dunkerque,in,[51-100],Saint Malo,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Reculver,Dunkerque,British,Dunkerque,Lille
80,,1787,Flandre,Dunkerque,out,[51-100],Dumbarton,Dunkerque,British,Dunkerque,Lille
99,,1787,Flandre,Dunkerque,out,[51-100],Roque de Thau,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Reculver,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Dungeness,Dunkerque,British,Dunkerque,Lille
55,,1787,Flandre,Dunkerque,out,[51-100],,Gravelines,French,Gravelines,Lille
55,,1787,Flandre,Dunkerque,in-out,[51-100],,Gravelines,French,Gravelines,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Cootyes Plaat [Colijnsplaat],Dunkerque,Dutch,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Pegelsham,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Barking,Dunkerque,British,Dunkerque,Lille
100,,1787,Flandre,Dunkerque,out,[51-100],Zapmer [Sappemeer],Dunkerque,Dutch,Dunkerque,Lille
140,Suède,1787,Flandre,Dunkerque,out,[101-200],Gottenbourg,Dunkerque,Swedish,Dunkerque,Lille
90,,1787,Flandre,Dunkerque,out,[51-100],,Gravelines,Danish/Norwegian,Gravelines,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Greenock,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Salwats,Dunkerque,British,Dunkerque,Lille
80,,1787,Flandre,Dunkerque,out,[51-100],Thiomée,Dunkerque,Danish,Dunkerque,Lille
48,France,1787,Flandre,Dunkerque,in-out,[21-50],Pornic,Gravelines,French,Gravelines,Lille
120,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
2,France,1787,Flandre,Dunkerque,sailing around,[1-20],Gravelines,Gravelines,French,Gravelines,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
90,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
30,,1787,Flandre,Dunkerque,out,[21-50],Fayal,Dunkerque,Portuguese,Dunkerque,Lille
55,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Tervers,Dunkerque,Dutch,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Aring [Hairn],Dunkerque,British,Dunkerque,Lille
48,France,1787,Flandre,Dunkerque,out,[21-50],Argenton,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
110,,1787,Flandre,Dunkerque,out,[101-200],Ormerziel,Dunkerque,Danish/Norwegian,Dunkerque,Lille
12,Autriche,1787,Flandre,Dunkerque,out,[1-20],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
236,,1787,Flandre,Dunkerque,out,[201-500],Workum,Dunkerque,Dutch,Dunkerque,Lille
74,Suède,1787,Flandre,Dunkerque,out,[51-100],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
160,Danemark,1787,Flandre,Dunkerque,out,[101-200],Frederichshale,Dunkerque,Danish/Norwegian,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Dungeness,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Reculver,Dunkerque,British,Dunkerque,Lille
100,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
93,Suède,1787,Flandre,Dunkerque,out,[51-100],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
93,Suède,1787,Flandre,Dunkerque,out,[51-100],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Dungeness,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Havre [Arundell],Dunkerque,British,Dunkerque,Lille
25,France,1787,Flandre,Dunkerque,out,[21-50],Calais,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
60,,1787,Flandre,Dunkerque,out,[51-100],Tréguier,Dunkerque,French,Dunkerque,Lille
50,France,1787,Flandre,Dunkerque,out,[21-50],Bourcefranc,Dunkerque,French,Dunkerque,Lille
56,,1787,Flandre,Dunkerque,out,[51-100],Warbourg [Varberg],Dunkerque,Swedish,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Hairn,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
2,France,1787,Flandre,Dunkerque,sailing around,[1-20],Gravelines,Gravelines,French,Gravelines,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Schourdun,Dunkerque,NonFrench,Dunkerque,Lille
160,,1787,Flandre,Dunkerque,out,[101-200],Stavoren,Dunkerque,Dutch,Dunkerque,Lille
75,Suède,1787,Flandre,Dunkerque,out,[51-100],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Pegelsham,Dunkerque,British,Dunkerque,Lille
80,Prusse,1787,Flandre,Dunkerque,out,[51-100],Norden,Dunkerque,Prussian,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],"Waton
[Walton on the Naze]",Dunkerque,British,Dunkerque,Lille
58,,1787,Flandre,Dunkerque,out,[51-100],Roque de Thau,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Awford [Lawford],Dunkerque,British,Dunkerque,Lille
2,France,1787,Flandre,Dunkerque,sailing around,[1-20],Gravelines,Gravelines,French,Gravelines,Lille
60,France,1787,Flandre,Dunkerque,in,[51-100],Saint Savinien,Dunkerque,French,Dunkerque,Lille
60,Brême,1787,Flandre,Dunkerque,out,[51-100],Brème,Gravelines,Bremen,Gravelines,Lille
55,France,1787,Flandre,Dunkerque,in,[51-100],Ars  en Ré,Gravelines,French,Gravelines,Lille
200,,1787,Flandre,Dunkerque,in,[101-200],,Dunkerque,NonFrench,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Bainsfield,Dunkerque,NonFrench,Dunkerque,Lille
112,,1787,Flandre,Dunkerque,out,[101-200],,Gravelines,French,Gravelines,Lille
98,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
45,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
90,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Amsterdam,Dunkerque,Dutch,Dunkerque,Lille
130,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Londres,Dunkerque,British,Dunkerque,Lille
35,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Londres,Dunkerque,British,Dunkerque,Lille
180,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Jersey,Dunkerque,British,Dunkerque,Lille
66,Autriche,1787,Flandre,Dunkerque,out,[51-100],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
30,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
75,Suède,1787,Flandre,Dunkerque,out,[51-100],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
32,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
125,,1787,Flandre,Dunkerque,out,[101-200],,Dunkerque,French,Dunkerque,Lille
132,,1787,Flandre,Dunkerque,out,[101-200],Worckum,Dunkerque,Dutch,Dunkerque,Lille
195,France,1787,Flandre,Dunkerque,in-out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
120,Etats-Unis d'Amérique,1787,Flandre,Dunkerque,out,[101-200],Nantucket,Dunkerque,USA,Dunkerque,Lille
50,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
250,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
150,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
60,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
36,Etats-Unis d'Amérique,1787,Flandre,Dunkerque,out,[21-50],Philadelphie,Dunkerque,USA,Dunkerque,Lille
130,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
240,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
32,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Londres,Dunkerque,British,Dunkerque,Lille
60,Duché d'Oldenbourg,1787,Flandre,Dunkerque,out,[51-100],Oldenbourg,Dunkerque,Oldenburguese,Dunkerque,Lille
180,,1787,Flandre,Dunkerque,out,[101-200],Copenhague,Dunkerque,Danish,Dunkerque,Lille
80,Suède,1787,Flandre,Dunkerque,out,[51-100],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
70,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Hull,Dunkerque,British,Dunkerque,Lille
32,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
50,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
35,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
105,,1787,Flandre,Dunkerque,out,[101-200],Barmouth,Dunkerque,British,Dunkerque,Lille
400,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
350,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
62,,1787,Flandre,Dunkerque,out,[51-100],Barmouth,Dunkerque,British,Dunkerque,Lille
70,France,1787,Flandre,Dunkerque,out,[51-100],Nantes,Dunkerque,French,Dunkerque,Lille
90,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
60,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
175,France,1787,Flandre,Dunkerque,out,[101-200],Saint Valery,Dunkerque,French,Dunkerque,Lille
80,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
100,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
100,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
110,Espagne,1787,Flandre,Dunkerque,out,[101-200],Corgona [Coruña],Dunkerque,Spanish,Dunkerque,Lille
45,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
70,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
60,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
60,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
45,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
70,Prusse,1787,Flandre,Dunkerque,out,[51-100],Emden,Dunkerque,Prussian,Dunkerque,Lille
90,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
90,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
165,France,1787,Flandre,Dunkerque,out,[101-200],Boulogne [sur Mer],Dunkerque,French,Dunkerque,Lille
40,Autriche,1787,Flandre,Dunkerque,out,[21-50],Nieuport,Dunkerque,Austrian NL,Dunkerque,Lille
85,,1787,Flandre,Dunkerque,out,[51-100],Dunbarten [Dumbarton],Dunkerque,British,Dunkerque,Lille
72,France,1787,Flandre,Dunkerque,out,[51-100],Brest,Dunkerque,French,Dunkerque,Lille
100,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
45,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
70,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Hull,Dunkerque,British,Dunkerque,Lille
25,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
80,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
50,Provinces-Unies,1787,Flandre,Dunkerque,out,[21-50],Tervers,Dunkerque,Dutch,Dunkerque,Lille
60,Autriche,1787,Flandre,Dunkerque,out,[51-100],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
60,Duché d'Oldenbourg,1787,Flandre,Dunkerque,out,[51-100],Oldenbourg,Dunkerque,Oldenburguese,Dunkerque,Lille
69,Danemark,1787,Flandre,Dunkerque,out,[51-100],Christiania,Dunkerque,Danish/Norwegian,Dunkerque,Lille
42,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
100,France,1787,Flandre,Dunkerque,out,[51-100],Nantes,Dunkerque,French,Dunkerque,Lille
150,Suède,1787,Flandre,Dunkerque,out,[101-200],Stockholm,Dunkerque,Swedish,Dunkerque,Lille
105,Provinces-Unies,1787,Flandre,Dunkerque,out,[101-200],Rotterdam,Dunkerque,Dutch,Dunkerque,Lille
110,Provinces-Unies,1787,Flandre,Dunkerque,out,[101-200],Rotterdam,Dunkerque,Dutch,Dunkerque,Lille
140,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Londres,Dunkerque,British,Dunkerque,Lille
48,France,1787,Flandre,Dunkerque,out,[21-50],Libourne,Dunkerque,French,Dunkerque,Lille
250,France,1787,Flandre,Dunkerque,out,[201-500],Cette,Dunkerque,French,Dunkerque,Lille
30,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
300,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
36,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
64,France,1787,Flandre,Dunkerque,out,[51-100],Oissant,Dunkerque,French,Dunkerque,Lille
150,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Sunderland,Dunkerque,British,Dunkerque,Lille
70,,1787,Flandre,Dunkerque,out,[51-100],Arundel,Dunkerque,British,Dunkerque,Lille
400,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
25,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
70,France,1787,Flandre,Dunkerque,out,[51-100],Noirmoutier,Dunkerque,French,Dunkerque,Lille
50,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
70,France,1787,Flandre,Dunkerque,out,[51-100],Ile de Ré,Gravelines,French,Gravelines,Lille
150,Hambourg,1787,Flandre,Dunkerque,out,[101-200],Hambourg,Dunkerque,Hamburguese,Dunkerque,Lille
130,Danemark,1787,Flandre,Dunkerque,out,[101-200],Christiania,Dunkerque,Danish/Norwegian,Dunkerque,Lille
75,,1787,Flandre,Dunkerque,out,[51-100],Roque de Thau,Dunkerque,French,Dunkerque,Lille
260,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
40,France,1787,Flandre,Dunkerque,out,[21-50],Marennes,Dunkerque,French,Dunkerque,Lille
70,,1787,Flandre,Dunkerque,out,[51-100],Dunbardon,Dunkerque,British,Dunkerque,Lille
115,France,1787,Flandre,Dunkerque,out,[101-200],Saint Malo,Dunkerque,French,Dunkerque,Lille
45,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Yarmouth,Dunkerque,British,Dunkerque,Lille
52,France,1787,Flandre,Dunkerque,out,[51-100],Libourne,Dunkerque,French,Dunkerque,Lille
65,France,1787,Flandre,Dunkerque,out,[51-100],Libourne,Dunkerque,French,Dunkerque,Lille
25,France,1787,Flandre,Dunkerque,out,[21-50],Caen,Dunkerque,French,Dunkerque,Lille
59,France,1787,Flandre,Dunkerque,out,[51-100],Brest,Dunkerque,French,Dunkerque,Lille
60,,1787,Flandre,Dunkerque,out,[51-100],"Aranzaza en Espagne [Spain, Atlantic, undertermined]",Dunkerque,Spanish,Dunkerque,Lille
30,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
36,Etats-Unis d'Amérique,1787,Flandre,Dunkerque,out,[21-50],Philadelphie,Dunkerque,USA,Dunkerque,Lille
50,France,1787,Flandre,Dunkerque,out,[21-50],Ouessant,Dunkerque,French,Dunkerque,Lille
42,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
45,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Yarmouth,Dunkerque,British,Dunkerque,Lille
130,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
150,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Sunderland,Dunkerque,British,Dunkerque,Lille
270,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
48,France,1787,Flandre,Dunkerque,out,[21-50],Le Conquet,Dunkerque,French,Dunkerque,Lille
109,France,1787,Flandre,Dunkerque,out,[101-200],Libourne,Dunkerque,French,Dunkerque,Lille
350,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
80,France,1787,Flandre,Dunkerque,out,[51-100],Le Havre,Dunkerque,French,Dunkerque,Lille
210,Danemark,1787,Flandre,Dunkerque,out,[201-500],Apenrade,Dunkerque,Danish,Dunkerque,Lille
200,Danemark,1787,Flandre,Dunkerque,out,[101-200],Altona,Dunkerque,Danish,Dunkerque,Lille
50,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
36,France,1787,Flandre,Dunkerque,out,[21-50],Noirmoutier,Dunkerque,French,Dunkerque,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
28,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
32,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Padstow,Dunkerque,British,Dunkerque,Lille
50,Danemark,1787,Flandre,Dunkerque,out,[21-50],Altona,Dunkerque,Danish,Dunkerque,Lille
130,Danemark,1787,Flandre,Dunkerque,out,[101-200],Christiania,Dunkerque,Danish/Norwegian,Dunkerque,Lille
70,Danemark,1787,Flandre,Dunkerque,out,[51-100],Arendal,Dunkerque,Danish/Norwegian,Dunkerque,Lille
80,France,1787,Flandre,Dunkerque,out,[51-100],Ile Dieu,Dunkerque,French,Dunkerque,Lille
33,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Londres,Dunkerque,British,Dunkerque,Lille
60,Duché d'Oldenbourg,1787,Flandre,Dunkerque,out,[51-100],Oldenbourg,Dunkerque,Oldenburguese,Dunkerque,Lille
130,Danemark,1787,Flandre,Dunkerque,out,[101-200],Mandal,Dunkerque,Danish/Norwegian,Dunkerque,Lille
180,France,1787,Flandre,Dunkerque,out,[101-200],Bordeaux,Dunkerque,French,Dunkerque,Lille
40,,1787,Flandre,Dunkerque,out,[21-50],Plassac,Dunkerque,French,Dunkerque,Lille
50,France,1787,Flandre,Dunkerque,sailing around,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
130,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
95,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Rotterdam,Dunkerque,Dutch,Dunkerque,Lille
110,Suède,1787,Flandre,Dunkerque,out,[101-200],Barth,Dunkerque,Swedish,Dunkerque,Lille
170,Danemark,1787,Flandre,Dunkerque,out,[101-200],Randers,Dunkerque,Danish,Dunkerque,Lille
36,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
70,Prusse,1787,Flandre,Dunkerque,out,[51-100],Emden,Dunkerque,Prussian,Dunkerque,Lille
190,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Sunderland,Dunkerque,British,Dunkerque,Lille
80,Danemark,1787,Flandre,Dunkerque,out,[51-100],Kragero,Dunkerque,Danish/Norwegian,Dunkerque,Lille
110,Danemark,1787,Flandre,Dunkerque,out,[101-200],Frederichshald,Dunkerque,Danish/Norwegian,Dunkerque,Lille
91,Suède,1787,Flandre,Dunkerque,out,[51-100],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
80,,1787,Flandre,Dunkerque,out,[51-100],Plassac,Dunkerque,French,Dunkerque,Lille
50,France,1787,Flandre,Dunkerque,sailing around,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
60,Suède,1787,Flandre,Dunkerque,out,[51-100],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
60,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
32,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Londres,Dunkerque,British,Dunkerque,Lille
140,,1787,Flandre,Dunkerque,out,[101-200],Plassac,Dunkerque,French,Dunkerque,Lille
130,Brême,1787,Flandre,Dunkerque,out,[101-200],Bremen,Dunkerque,Bremen,Dunkerque,Lille
120,Provinces-Unies,1787,Flandre,Dunkerque,out,[101-200],Peckel,Dunkerque,Dutch,Dunkerque,Lille
80,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Sunderland,Dunkerque,British,Dunkerque,Lille
56,France,1787,Flandre,Dunkerque,out,[51-100],Erquy,Dunkerque,French,Dunkerque,Lille
50,,1787,Flandre,Dunkerque,out,[21-50],Roque de Thau,Dunkerque,French,Dunkerque,Lille
30,France,1787,Flandre,Dunkerque,sailing around,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
250,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
48,France,1787,Flandre,Dunkerque,sailing around,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
52,,1787,Flandre,Dunkerque,out,[51-100],Roque de Thau,Dunkerque,French,Dunkerque,Lille
50,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
42,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
40,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
150,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
